time,1,2,3
1640013765764,0.217695,-1.465,-1.46973,
1640013765784,0.213055,-1.46675,-1.46973,
1640013765804,0.213055,-1.46675,-1.46472,
1640013765824,0.210734,-1.46675,-1.46472,
1640013765844,0.210734,-1.47636,-1.46472,
1640013765864,0.210734,-1.47636,-1.47455,
1640013765884,0.211578,-1.47636,-1.47455,
1640013765904,0.211578,-1.47636,-1.45879,
1640013765924,0.209047,-1.47636,-1.45879,
1640013765944,0.209047,-1.48575,-1.46806,
1640013765964,0.209047,-1.48575,-1.46806,
1640013765984,0.208836,-1.46238,-1.46806,
1640013766004,0.208836,-1.46238,-1.45157,
1640013766024,0.207992,-1.47177,-1.45157,
1640013766044,0.207992,-1.47177,-1.45527,
1640013766064,0.205039,-1.47177,-1.45527,
1640013766084,0.205039,-1.47112,-1.45527,
1640013766104,0.205039,-1.47112,-1.46472,
1640013766124,0.20525,-1.4661,-1.46472,
1640013766144,0.20525,-1.4661,-1.47047,
1640013766164,0.208414,-1.4661,-1.47047,
1640013766184,0.208414,-1.47723,-1.4675,
1640013766204,0.208414,-1.47723,-1.4675,
1640013766224,0.214531,-1.47505,-1.4675,
1640013766244,0.214531,-1.47505,-1.4688,
1640013766264,0.211367,-1.48204,-1.4688,
1640013766284,0.211367,-1.48204,-1.46732,
1640013766304,0.208414,-1.48204,-1.46732,
1640013766324,0.208414,-1.45823,-1.46732,
1640013766344,0.208414,-1.45823,-1.48103,
1640013766364,0.197655,-1.47745,-1.48103,
1640013766384,0.197655,-1.47745,-1.44656,
1640013766404,0.205882,-1.47745,-1.44656,
1640013766424,0.205882,-1.46784,-1.46769,
1640013766444,0.205882,-1.46784,-1.46769,
1640013766464,0.19639,-1.46893,-1.46769,
1640013766484,0.19639,-1.46893,-1.45398,
1640013766504,0.222758,-1.4661,-1.45398,
1640013766524,0.222758,-1.4661,-1.45286,
1640013766544,0.209258,-1.4661,-1.45286,
1640013766564,0.209258,-1.46937,-1.45286,
1640013766584,0.209258,-1.46937,-1.47251,
1640013766604,0.198921,-1.47003,-1.47251,
