time,1,2,3
1640014416931,2.71015e-06,7.9209e-06,8.61101e-06,
1640014416951,2.76975e-06,7.9209e-06,8.61101e-06,
1640014416971,2.76975e-06,7.97771e-06,8.59983e-06,
1640014416991,2.76975e-06,7.97771e-06,8.59983e-06,
1640014417011,2.80328e-06,8.02148e-06,8.59983e-06,
1640014417031,2.80328e-06,8.02148e-06,8.57189e-06,
1640014417051,2.74461e-06,8.02148e-06,8.57189e-06,
1640014417071,2.74461e-06,8.07177e-06,8.56072e-06,
1640014417091,2.76603e-06,8.07177e-06,8.56072e-06,
1640014417111,2.76603e-06,8.01869e-06,8.56072e-06,
1640014417131,2.76603e-06,8.01869e-06,8.5542e-06,
1640014417151,2.81818e-06,8.01869e-06,8.5542e-06,
1640014417171,2.81818e-06,7.96281e-06,8.50763e-06,
1640014417191,2.77814e-06,7.96281e-06,8.50763e-06,
1640014417211,2.77814e-06,8.00192e-06,8.63988e-06,
1640014417231,2.77814e-06,8.00192e-06,8.63988e-06,
1640014417251,2.84612e-06,7.99168e-06,8.63988e-06,
1640014417271,2.84612e-06,7.99168e-06,8.58679e-06,
1640014417291,2.7651e-06,7.99168e-06,8.58679e-06,
1640014417311,2.7651e-06,8.06246e-06,8.59052e-06,
1640014417331,2.73064e-06,8.06246e-06,8.59052e-06,
1640014417351,2.73064e-06,7.95815e-06,8.59052e-06,
1640014417371,2.73064e-06,7.95815e-06,8.57562e-06,
1640014417391,2.73436e-06,7.95815e-06,8.57562e-06,
1640014417411,2.73436e-06,7.97398e-06,8.59052e-06,
1640014417431,2.73902e-06,7.97398e-06,8.59052e-06,
1640014417451,2.73902e-06,8.00658e-06,8.56165e-06,
1640014417471,2.73902e-06,8.00658e-06,8.56165e-06,
1640014417491,2.83402e-06,7.97212e-06,8.56165e-06,
1640014417511,2.83402e-06,7.97212e-06,8.61101e-06,
1640014417531,2.79676e-06,7.97212e-06,8.61101e-06,
1640014417551,2.79676e-06,7.99727e-06,8.60821e-06,
1640014417571,2.74461e-06,7.99727e-06,8.60821e-06,
1640014417591,2.74461e-06,8.01869e-06,8.60821e-06,
1640014417611,2.74461e-06,8.01869e-06,8.61194e-06,
1640014417631,2.75113e-06,8.01869e-06,8.61194e-06,
1640014417651,2.75113e-06,7.97305e-06,8.58586e-06,
1640014417671,2.74926e-06,7.97305e-06,8.58586e-06,
1640014417691,2.74926e-06,7.96467e-06,8.58214e-06,
1640014417711,2.74926e-06,7.96467e-06,8.58214e-06,
1640014417731,2.77348e-06,7.92183e-06,8.58214e-06,
1640014417751,2.77348e-06,7.92183e-06,8.57003e-06,
1640014417771,2.80514e-06,7.92183e-06,8.57003e-06,
1640014417791,2.80514e-06,7.97585e-06,8.59611e-06,
1640014417811,2.79211e-06,7.97585e-06,8.59611e-06,
1640014417831,2.79211e-06,7.95349e-06,8.59611e-06,
1640014417851,2.79211e-06,7.95349e-06,8.62032e-06,
1640014417871,2.76323e-06,7.95349e-06,8.62032e-06,
